source,State,District,Rivers / Streams,start_date
news_reports,Telangana,"Adilabad, Bhadradri Kothagudem, Hanumakonda, Hyderabad, Jagtial, Jayashankar Bhoopalpally, Jogulamba Gadwal, Jangoan, Kamareddy, Khammam, Komaram Bheem Asifabad, Karimnagar, Mahabubabad, Mahabubnagar, Mulug, Nagarkurnool, Nalgonda, Narayanpet, Medchal-Malkajgiri, Nirmal, Sangareddy, Siddipet, Rangareddy, Suryapet, Vikarabad, Rajanna Sircilla, Nizamabad, Medak, Peddapalli, Mancherial, Wanaparthy, Yadadri Bhuvanagiri, Warangal",Manneru,2024-02-09 18:30:00+00
news_reports,Karnataka,Dakshina Kannada,"Netravathi, Phalguni",2024-06-23 18:30:00+00
news_reports,Tamil Nadu,Chennai,N/A,2017-03-23 18:30:00+00
news_reports,"Madhya Pradesh, Maharashtra, Andhra Pradesh, Tamil Nadu, Punjab","Anantapur, Chittoor, Y.s.r. / Kadapa, East Godavari, Karimnagar, Khammam, Krishna, Kurnool, Hyderabad, Mahbubnagar, Medak, Nalgonda, Guntur, Sri Potti Sriramulu Nellore, Nizamabad, Prakasam, Anuppur, Ashoknagar, Balaghat, Barwani, Betul, Alirajpur, Bhind, Bhopal, Burhanpur, Chhatarpur, West Godavari, Chhindwara, Damoh, Datia, Warangal, Vizianagaram, Visakhapatnam, Srikakulam, Guna, Gwalior, Harda, Indore, Jabalpur, Jhabua, Katni, Mandla, Dindori, Mandsaur, Morena, Narsimhapur, Neemuch, Dhar, Panna, Raisen, Rajgarh, Ratlam, Dewas, Rewa, Sagar, Satna, Sehore, Seoni, Ujjain, Umaria, Vidisha, Ahmadnagar, Tikamgarh, Akola, Amravati, Chhatrapati Sambhajinagar (Aurangabad), Singrauli, Bhandara, Beed, Sidhi, Buldhana, Chandrapur, Dhule, Gadchiroli, Shivpuri, Gondia, Hingoli, Jalgaon, Jalna, Sheopur, Shajapur, Shahdol, Rangareddy, Kolhapur, Nandurbar, Nashik, Dharashiv (Osmanabad), Parbhani, Nanded, Pune, Raigad, Ratnagiri, Sangli, Nagpur, Satara, Sindhudurg, Solapur, Thane, Mumbai Suburban, Wardha, Washim, Yavatmal, Mumbai, Amritsar, Barnala, Bathinda, Faridkot, Latur, Fatehgarh Sahib, Firozpur, Gurdaspur, Moga, Muktsar, Patiala, Rupnagar, Sahibzada Ajit Singh Nagar, Mansa, Sangrur, Shahid Bhagat Singh Nagar (Nawanshahr), Ludhiana, Tarn Taran, Ariyalur, Kapurthala, Chennai, Coimbatore, Cuddalore, Jalandhar, Dharmapuri, Dindigul, Erode, Kancheepuram, Karur, Krishnagiri, Madurai, Namakkal, Perambalur, Pudukkottai, Ramanathapuram, Salem, Kanniyakumari, Sivaganga, Thanjavur, The Nilgiris, Thiruvarur, Thoothukkudi, Tiruchirappalli, Tirunelveli, Thiruvallur, Tiruppur, Tiruvannamalai, Vellore, Theni, Viluppuram, Virudhunagar, Nagapattinam, Hoshiarpur, Annamayya, Sri Sathya Sai, Palnadu / Narasaraopet, Fazilka, Pathankot, Bapatla, Palghar, Nandyal, Chengalpattu, Kallakurichi, Mayiladuthurai, Dr. B. R. Ambedkar Konaseema / Konaseema, Ranipet, Tenkasi, Tirupati, Kakinada, East Godavari, Tirupathur, Niwari, Pandhurna, Mauganj, Maihar, Agar-Malwa, Khandwa (East Nimar), Narmadapuram, Khargone (West Nimar)",N/A,2024-12-04 18:30:00+00
news_reports,Andhra Pradesh,"Krishna, Chittoor, Y.s.r. / Kadapa, Guntur, Mahbubnagar, Nizamabad, Prakasam, Visakhapatnam, Warangal, Medak, Anantapur, Khammam, Kurnool, Nalgonda, Karimnagar, Sri Potti Sriramulu Nellore, Vizianagaram, Srikakulam, West Godavari, Annamayya, Sri Sathya Sai, Rangareddy, Palnadu / Narasaraopet, Tirupati, Hyderabad, Bapatla, Dr. B. R. Ambedkar Konaseema / Konaseema, East Godavari, East Godavari, Nandyal, Kakinada",N/A,2020-12-15 18:30:00+00
news_reports,"Telangana, Andhra Pradesh","Nagarkurnool, Kurnool, Jogulamba Gadwal",Tungabhadra,2020-06-14 18:30:00+00
news_reports,Andhra Pradesh,"Kurnool, Anantapur, Chittoor, Y.s.r. / Kadapa","Penna, Chithravathi",2019-08-16 18:30:00+00
news_reports,"Andhra Pradesh, Karnataka, Telangana",Bagalkot,"Krishna, Malaprabha",2021-02-09 18:30:00+00
news_reports,Kerala,"Thiruvananthapuram, Kollam","Chozhiyakodu, Millpaalam",2017-05-20 18:30:00+00
news_reports,Gujarat,Vadodara,Narmada,2024-12-12 18:30:00+00
